Федеральный округ,Как можно охарактеризовать ваш ОСНОВНОЙ источник дохода?,Как можно охарактеризовать ваш ОСНОВНОЙ источник дохода?
Уральский федеральный округ,"Совмещение постоянной работы и хобби, за которое я получаю деньги ",1
Уральский федеральный округ,Стипендия и постоянная работа,1
Уральский федеральный округ,Три работы- две постоянные и фриланс,1
Центральный федеральный округ,Постоянная работа,1145
Центральный федеральный округ,Фриланс,178
Центральный федеральный округ,Временная работа,87
Центральный федеральный округ,"Государственные пособия (пенсия, пособие по безработице и др.)",72
Центральный федеральный округ,"Пассивный доход (сдача жилья в аренду, дивиденды, проценты от вклада)",55
Центральный федеральный округ,Стипендия или грант,51
Центральный федеральный округ,Краткосрочные/случайные подработки,47
Центральный федеральный округ,Помощь родственников,2
Центральный федеральный округ," Ну и стипуха, плюс подработка ",1
Центральный федеральный округ,50/50 - стипендия и постоянная работа ,1
Центральный федеральный округ,Алименты на ребенка,1
Центральный федеральный округ,Бизнес ,1
Центральный федеральный округ,"Большую часть года — подработки, с ноября постоянная работа",1
Центральный федеральный округ,Гонорары за нерегулярные выступления,1
Центральный федеральный округ,"Декрет, пособие на ребенка",1
Центральный федеральный округ,Иждивение,1
Центральный федеральный округ,Научные публикации. ПРНД,1
Центральный федеральный округ,"Общий бюджет с супругом/супругой (оба работаем, доход с сильной разницей)",1
Центральный федеральный округ,Оплачиваемое волонтерство в другой стране,1
Центральный федеральный округ,От родителей. ,1
Центральный федеральный округ,Пенсия и постоянная работа,1
Центральный федеральный округ,"Пол года постоянная работа с ЗП более 85 тысяч, и пол года декретные(пособие от государства)",1
Центральный федеральный округ,Пособия и стипендия ,1
Центральный федеральный округ,Постоянная работа + подработки,1
Центральный федеральный округ,Работа+поддержка семьи ,1
Центральный федеральный округ,Родители,1
Центральный федеральный округ,Родители ,1
Центральный федеральный округ,Родители и другие родственники,1
Центральный федеральный округ,"Самозанятость, собственное дело",1
Центральный федеральный округ,Самозанятый,1
Центральный федеральный округ,Содержание как иждивенца,1
Центральный федеральный округ,Стипендия + подработка на неполный день.,1
Центральный федеральный округ,карманные деньги ,1
Центральный федеральный округ,"комбинированный (работа, сдаю квартиру, мама-инвалид получает преференции)",1
Центральный федеральный округ,постоянная подработка  (репетитор),1
Центральный федеральный округ,постоянная работа + подработка + пассивный доход,1
Центральный федеральный округ,постоянная работа+пассивный доход+фриланс,1
Южный федеральный округ,Постоянная работа,118
Южный федеральный округ,Фриланс,29
Южный федеральный округ,Временная работа,10
Южный федеральный округ,"Пассивный доход (сдача жилья в аренду, дивиденды, проценты от вклада)",9
Южный федеральный округ,"Государственные пособия (пенсия, пособие по безработице и др.)",8
Южный федеральный округ,Краткосрочные/случайные подработки,4
Южный федеральный округ,Стипендия или грант,4
Южный федеральный округ,не хочу говорить,1
